"Year","Trawl_N","Trawl_S","Non-trawl","Total Landings","Total Dead"
1954,"112.45","0.00","0.38","112.83","149.50"
1955,"62.93","4.99","0.28","68.20","89.35"
1956,"133.04","6.82","0.48","140.34","184.48"
1957,"63.88","0.00","0.49","64.37","85.17"
1958,"27.80","9.51","0.14","37.45","47.67"
1959,"28.81","32.26","0.24","61.31","74.69"
1960,"31.09","149.61","0.10","180.80","209.37"
1961,"28.55","56.76","0.38","85.68","101.87"
1962,"22.47","113.69","0.45","136.60","157.67"
1963,"7.77","223.17","0.27","231.21","260.51"
1964,"25.19","173.49","0.78","199.45","228.07"
1965,"31.75","307.58","0.13","339.46","385.26"
1966,"623.08","542.10","0.13","1,165.31","1,419.32"
1967,"375.82","867.40","0.34","1,243.57","1,455.70"
1968,"207.45","1,834.26","0.26","2,041.97","2,307.78"
1969,"215.73","430.43","0.95","647.10","758.09"
1970,"179.79","599.25","0.26","779.30","896.52"
1971,"347.53","607.82","0.08","955.43","1,120.43"
1972,"390.43","1,380.65","0.11","1,771.19","2,028.48"
1973,"704.17","2,321.09","0.44","3,025.70","3,467.33"
1974,"219.17","1,146.08","1.32","1,366.58","1,548.21"
1975,"401.92","1,872.54","0.53","2,274.99","2,583.44"
1976,"105.65","1,824.32","0.51","1,930.48","2,155.09"
1977,"114.67","1,472.13","9.21","1,596.01","1,789.93"
1978,"176.78","1,013.53","2.96","1,193.27","1,354.92"
1979,"69.69","1,715.69","6.56","1,791.94","2,009.80"
1980,"180.55","1,204.88","2.25","1,387.68","1,580.54"
1981,"133.01","1,608.49","2.74","1,744.24","1,979.58"
1982,"293.69","1,654.79","2.71","1,951.19","2,245.38"
1983,"480.91","1,416.64","2.76","1,900.31","2,225.99"
1984,"1,039.34","1,841.97","1.18","2,882.49","3,438.62"
1985,"957.63","2,397.97","6.00","3,361.60","3,989.88"
1986,"613.68","2,331.52","7.98","2,953.18","3,487.19"
1987,"646.13","1,322.44","22.19","1,990.76","2,401.12"
1988,"882.88","1,965.85","24.92","2,873.65","3,476.63"
1989,"1,655.68","3,123.78","35.74","4,815.20","5,491.29"
1990,"2,111.95","1,911.73","31.36","4,055.04","4,667.22"
1991,"2,417.55","995.94","53.54","3,467.03","4,030.93"
1992,"1,794.46","1,455.11","61.25","3,310.82","3,842.94"
1993,"2,010.72","1,571.84","26.59","3,609.15","4,201.69"
1994,"2,083.41","1,182.92","21.00","3,287.33","3,849.80"
1995,"960.14","929.27","57.01","1,946.42","2,281.71"
1996,"812.28","699.59","100.09","1,611.95","1,903.53"
1997,"690.20","654.17","62.74","1,407.11","1,666.52"
1998,"585.18","593.35","62.18","1,240.72","1,475.58"
1999,"373.93","309.07","64.39","747.39","895.69"
2000,"361.30","421.91","66.59","849.80","1,018.95"
2001,"292.26","197.49","57.98","547.73","663.05"
2002,"300.48","364.76","114.25","779.50","942.43"
2003,"361.85","302.40","166.56","830.80","960.59"
2004,"334.19","286.59","139.49","760.27","879.28"
2005,"299.68","214.11","149.69","663.48","775.07"
2006,"334.59","210.53","159.17","704.30","826.54"
2007,"628.77","222.56","158.80","1,010.12","1,103.22"
2008,"979.54","259.94","196.97","1,436.45","1,569.39"
2009,"1,023.19","308.38","200.62","1,532.20","1,673.89"
2010,"838.83","284.22","228.36","1,351.41","1,488.11"
2011,"496.88","232.99","260.52","990.39","1,083.82"
2012,"457.67","263.59","192.07","913.33","989.98"
2013,"570.11","294.83","166.40","1,031.34","1,111.27"
2014,"456.13","254.05","147.81","858.00","928.12"
2015,"513.66","244.29","131.30","889.26","929.06"
2016,"587.71","185.73","168.94","942.38","992.09"
2017,"634.83","158.30","223.82","1,016.94","1,094.53"
2018,"595.89","105.07","184.48","885.44","948.28"
2019,"460.13","127.94","143.48","731.55","785.62"
2020,"258.09","87.99","85.17","431.26","477.36"
2021,"302.81","73.39","78.74","454.94","499.93"
2022,"506.30","97.61","66.22","670.12","724.14"
