"Year","Trawl_N","Trawl_S","Non-trawl","Total Landings","Total Dead"
1954,"112.45","0.00","0.38","112.83","127.54"
1955,"62.93","4.99","0.28","68.20","76.69"
1956,"133.04","6.82","0.48","140.34","158.20"
1957,"63.88","0.00","0.49","64.37","72.91"
1958,"27.80","9.51","0.14","37.45","41.55"
1959,"28.81","32.26","0.24","61.31","66.53"
1960,"31.09","149.61","0.10","180.80","191.23"
1961,"28.55","56.76","0.38","85.68","91.92"
1962,"22.47","113.69","0.45","136.60","144.43"
1963,"7.77","223.17","0.27","231.21","241.60"
1964,"25.19","173.49","0.78","199.45","210.08"
1965,"31.75","307.58","0.13","339.46","356.18"
1966,"623.08","542.10","0.13","1,165.31","1,265.97"
1967,"375.82","867.40","0.34","1,243.57","1,325.03"
1968,"207.45","1,834.26","0.26","2,041.97","2,139.58"
1969,"215.73","430.43","0.95","647.10","689.99"
1970,"179.79","599.25","0.26","779.30","823.42"
1971,"347.53","607.82","0.08","955.43","1,018.56"
1972,"390.43","1,380.65","0.11","1,771.19","1,866.34"
1973,"704.17","2,321.09","0.44","3,025.70","3,188.41"
1974,"219.17","1,146.08","1.32","1,366.58","1,431.72"
1975,"399.30","1,872.54","0.53","2,272.37","2,381.61"
1976,"103.83","1,824.32","0.51","1,928.66","2,002.99"
1977,"112.56","1,472.13","9.21","1,593.90","1,658.75"
1978,"176.33","1,013.53","2.96","1,192.82","1,247.39"
1979,"65.96","1,715.69","6.56","1,788.21","1,855.78"
1980,"179.97","1,204.88","2.25","1,387.10","1,449.25"
1981,"132.48","1,608.49","2.74","1,743.71","1,815.68"
1982,"293.65","1,654.79","2.71","1,951.15","2,044.80"
1983,"480.91","1,416.64","2.76","1,900.30","2,009.74"
1984,"1,039.29","1,841.97","1.18","2,882.44","3,078.65"
1985,"956.35","2,397.97","6.00","3,360.32","3,575.65"
1986,"613.11","2,331.52","7.98","2,952.62","3,129.25"
1987,"638.84","1,322.44","22.19","1,983.47","2,131.22"
1988,"877.45","1,965.85","24.92","2,868.22","3,084.11"
1989,"1,655.55","3,123.78","35.74","4,815.07","5,208.77"
1990,"2,092.81","1,911.73","31.36","4,035.90","4,451.92"
1991,"2,416.99","995.94","53.54","3,466.47","3,907.34"
1992,"1,782.91","1,455.11","61.25","3,299.27","3,677.11"
1993,"2,010.20","1,571.84","26.59","3,608.63","4,034.78"
1994,"2,083.16","1,182.92","21.00","3,287.08","3,716.96"
1995,"953.79","929.27","57.01","1,940.08","2,176.77"
1996,"810.14","699.59","100.09","1,609.82","1,824.69"
1997,"689.59","654.17","62.74","1,406.50","1,592.89"
1998,"582.09","593.35","62.18","1,237.62","1,404.29"
1999,"373.90","309.07","64.39","747.36","858.57"
2000,"340.72","421.91","66.59","829.22","944.10"
2001,"276.61","197.49","57.98","532.08","618.30"
2002,"288.51","364.76","114.25","767.53","883.27"
2003,"346.05","302.40","166.56","815.01","953.33"
2004,"328.55","286.59","139.49","754.62","882.55"
2005,"292.59","214.11","149.69","656.39","774.51"
2006,"334.06","210.53","159.17","703.77","833.84"
2007,"626.03","222.56","158.80","1,007.39","1,102.25"
2008,"972.95","259.94","196.97","1,429.86","1,563.90"
2009,"1,022.69","308.38","200.62","1,531.70","1,673.25"
2010,"834.86","284.22","228.36","1,347.44","1,481.92"
2011,"483.47","232.99","260.52","976.98","1,069.97"
2012,"455.93","263.59","192.07","911.59","987.50"
2013,"547.98","294.83","166.40","1,009.21","1,085.62"
2014,"433.12","254.05","147.81","834.98","900.66"
2015,"503.14","244.29","131.30","878.73","945.40"
2016,"577.19","185.73","168.94","931.86","1,012.75"
2017,"606.86","158.30","223.82","988.97","1,085.60"
2018,"525.04","105.07","184.48","814.60","895.39"
2019,"402.95","127.94","143.48","674.37","736.82"
2020,"248.47","87.99","85.17","421.64","458.87"
2021,"226.00","73.39","78.74","378.13","411.62"
2022,"261.16","97.61","66.22","424.98","456.65"
