Year,CA Fixed,OR Fixed,WA Fixed,CA Trawl,OR Trawl,WA Trawl
1965,1276.46,171.91,435.76,0,0,49.33
1966,1426.95,181.7,198.7,0,0,55.24
1967,1709.57,301.48,73.87,0,0,48.56
1968,1442.21,290.28,22.98,0,0,38.03
1969,1891.13,375.02,63.77,0.42,0,30.66
1970,2009.78,127.67,170.54,0.11,0,40.5
1971,1800.33,201.39,148.91,60.86,0,34.53
1972,3536.8,218.61,71.95,272.92,0,10.38
1973,3587.94,604.89,206.04,293.15,0,25.07
1974,2667.76,303.18,359.39,2794.74,0,39.46
1975,3297.9,350.35,734.62,3108.57,0,95.34
1976,3056.5,501.63,314.56,2992.52,0,248.6
1977,2842.71,433.26,646.62,3199.38,0,219.62
1978,2998.27,1404.13,1068.98,5041.3,329,536.91
1979,5465.58,3375.65,1919.49,7498.03,4351.02,592.32
1980,3297.1,1496.23,889.75,1341.18,1241.05,339.99
1981,4369.64,2072.32,1749.61,2348.83,277.17,599.07
1982,6219.05,3632.57,2002.38,3437.01,1457.14,1877.47
1983,3524.07,3324.59,1795.24,3170.8,1317.83,1519.3
1984,3257.49,3009.67,1691.87,1569.33,1828.37,2624.47
1985,4053.4,3374.14,2629.84,1120.67,1898.58,1041.02
1986,4732.4,3230.69,1549.05,1487.91,1424,572.68
1987,1255.55,2690.32,1925.89,3159.07,2547.83,848.69
1988,1155.69,1908.86,1997.82,2701.05,2173.26,667.8
1989,1370.59,1320.23,1719.65,2704.57,2628.25,475.64
1990,1367.4,1177.48,1235.71,2383.27,2527.51,352.96
1991,1146.01,1445.23,1728.06,2212.28,2460.76,329.47
1992,1182.09,1302.1,1384.39,2533.13,2554.02,394.97
1993,660.4,1319.43,1167.99,1937.75,2516.05,509.09
1994,764.43,2005.19,939.36,1421.38,1999.66,412.48
1995,1185.3,1277.97,1548.41,1633.67,1856.71,369.5
1996,1428.49,1096.28,1556.05,1767.41,2078.57,366.01
1997,1395.72,1075.87,1650.21,1572.4,1848.37,353
1998,522.18,689.5,963.36,926.32,1054.71,189.48
1999,764.16,1274.02,1369.98,1205.92,1672.54,285.97
2000,901.92,1304.05,1299.53,993.14,1492.71,204.72
2001,764.77,998.98,1249.03,792.98,1526.48,282.2
2002,652.15,622.75,915.2,661.16,783,132.18
2003,789.43,880.04,1341.12,860.68,1169.51,188.41
2004,723.8,1048.37,1506.22,710.08,1503.26,205.44
2005,888.19,1238.14,1473.38,762.98,1406.97,232.82
2006,877.91,1097.58,1404.94,763.09,1551.23,225.17
2007,721.54,869.74,1030.54,749.47,1557.73,186.12
2008,837.37,991.31,966.61,754.18,1965.93,173.47
2009,1460.03,1293.28,1135.92,851.34,2007.87,203
2010,1787.33,1147.37,1124.63,710.9,1710.13,118.81
2011,2032.53,1318.24,1070.12,533.54,983.85,213.99
2012,1295.39,1254.7,1119.03,485.92,886.55,147.82
2013,1043.63,870.8,670.37,457.39,865.05,82.94
2014,1308.46,775.53,778.11,494.06,714.86,91.48
2015,1356.29,1269.38,914.61,488.75,965.59,16.73
2016,1325.18,1461.38,1039.75,419.45,1040.95,18.31
2017,1330.38,1361.23,945.85,408.09,1155.92,106.79
2018,1165.72,1419.52,964.96,262.95,1147.63,84.48
